age,name,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city,countDetails,crypt,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online
20,Tina,12,23168,520,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Bern,0.460000008,FALSE,FALSE,FALSE,FALSE,FALSE,77,FALSE,TRUE,TRUE
25,Lady-Na,25,27375,885,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Bern,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,FALSE
20,Jenny,12,15236,764,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Biel,0.649999976,FALSE,FALSE,FALSE,FALSE,FALSE,85.09999847,FALSE,TRUE,FALSE
19,Larali,5,1167,29,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Lörrach,0.579999983,FALSE,FALSE,FALSE,FALSE,FALSE,145,FALSE,TRUE,FALSE
19,Flavia,11,22226,2338,TRUE,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,FALSE
20,jasmin.diaz,5,19653,759,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Solothurn,0.579999983,FALSE,FALSE,FALSE,FALSE,FALSE,106,FALSE,TRUE,FALSE
19,MaaRiiPooSaax3,11,13194,225,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Basel,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,121,FALSE,TRUE,FALSE
22,》》》●•●《《《,13,47475,2137,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zurigo,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,167,FALSE,TRUE,FALSE
21,Jäcky,14,24369,1559,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Villmergen,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,153,FALSE,TRUE,TRUE
22,Nathalie,3,1359,42,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unterseen,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,93.90000153,FALSE,TRUE,FALSE
24,caro,9,7014,216,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,153,FALSE,TRUE,FALSE
23,luu,18,20823,864,TRUE,TRUE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Zürich,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,FALSE
19,Christin🎀,5,12344,234,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hamburg,0.800000012,FALSE,FALSE,FALSE,FALSE,FALSE,187,FALSE,TRUE,TRUE
19,Mary,6,1934,57,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Basel,0.230000004,FALSE,FALSE,FALSE,FALSE,FALSE,136,FALSE,TRUE,FALSE
19,ladylike95,9,3217,180,TRUE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Bolligen,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,89.09999847,FALSE,FALSE,FALSE
24,Anabel,4,14267,670,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Birmensdorf,0.540000021,FALSE,FALSE,FALSE,FALSE,FALSE,170,FALSE,TRUE,FALSE
19,Tanja,11,6819,164,TRUE,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,177,FALSE,TRUE,FALSE
19,diana,9,5270,64,FALSE,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Schattdorf,0.579999983,FALSE,FALSE,FALSE,FALSE,FALSE,158,FALSE,TRUE,FALSE
25,mariiaa,3,44,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,146,FALSE,TRUE,TRUE
22,Vanessa,4,690,6,FALSE,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Köln,0.920000017,FALSE,FALSE,FALSE,FALSE,FALSE,475,FALSE,TRUE,TRUE
21,Karen,3,1058,62,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Bern,0.379999995,FALSE,FALSE,FALSE,FALSE,FALSE,63.20000076,FALSE,TRUE,FALSE
21,Priiscilla..,20,44883,3556,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,0.5,FALSE,TRUE,FALSE,FALSE,TRUE,183,FALSE,TRUE,TRUE
21,Mischi,20,17092,461,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,182,FALSE,TRUE,FALSE
20,Mhmoke,6,49039,4269,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,0.419999987,FALSE,FALSE,FALSE,FALSE,FALSE,153,FALSE,TRUE,TRUE
